order_id,Actual_Delivery_Days,Estimated_Delivery_Days
0x00010242FE8C5A6D1BA2DD792CB16214,7,16
0x00018F77F2F0320C557190D7A144BDD3,16,19
0x000229EC398224EF6CA0657DA4FC703E,8,22
0x00024ACBCDF0A6DAA1E931B038114C75,6,12
0x00042B26CF59D7CE69DFABB4E55B4FD9,25,41
0x00048CC3AE777C65DBB7D2A0634BC1EA,5,20
0x00054E8431B9D7675808BCB819FB4A32,8,25
0x000576FE39319847CBB9D288C5617FA6,4,20
0x0005A1A1728C9D785B8E2B08B904576C,9,9
0x0005F50442CB953DCD1D21E1FB923495,2,21
0x00061F2A7BC09DA83E415A52DC8A4AF1,5,16
0x00063B381E2406B52AD429470734EBD5,11,11
0x0006EC9DB01A64E59A68B2C340BF65A7,7,29
0x0008288AA423D2A3F00FCB17CD7D8719,11,19
0x0009792311464DB532FF765BF7B182AE,7,13
0x0009C9A17F916A706D71784483A5D643,5,14
0x000AED2E25DBAD2F9DDB70584C5A2DED,7,11
0x000C3E6612759851CC3CBB4B83257986,4,17
0x000E562887B1F2006D75E0BE9558292E,18,25
0x000E63D38AE8C00BBCB5A30573B99628,4,13
0x000E906B789B55F64EDCB1F84030F90D,18,16
0x000F25F4D72195062C040B12DCE9A18A,15,35
0x001021EFAA8636C29475E7734483457D,9,24
0x0010B2E5201CC5F1AE7E9C6CC8F5BD00,12,16
0x00119FF934E539CF26F92B9EF0CDFED8,9,24
0x0011D82C4B53E22E84023405FB467E57,10,30
0x00125CB692D04887809806618A2A145F,15,28
0x00130C0EEE84A3D909E75BC08C5C3CA1,1,8
0x0013503B13DA1EAC686219390B7D641B,13,21
0x00137E170939BBA5A3134E2386413108,16,23
0x001427C0EC99CF8AF737BD88E92FD444,18,33
0x00143D0F86D6FBD9F9B38AB440AC16F5,11,21
0x0014AE671DE39511F7575066200733B7,15,21
0x0015EBB40FB17286BEA51D4607C4733C,18,32
0x00169E31EF4B29DEAAE414F9A5E95929,6,21
0x0016DFEDD97FC2950E388D2971D718C7,23,33
0x0017AFD5076E074A48F1F1A4C7BAC9C5,47,43
0x001862358BF858722E1E2AE000CFED8B,8,23
0x0019C29108428ACFFD089C36103C9440,10,36
0x001AB0A7578DD66CD4B0A71F5B6E1E41,20,32
0x001AC194D4A326A6FA99B581E9A3D963,6,11
0x001B76DD48A5B1EEE3E87778DAA40DF8,11,32
0x001C85B5F68D2BE0CB0797AFC9E8CE9A,28,20
0x001D8F0E34A38C37F7DBA2A37D4EBA8B,12,10
0x001DAEB0EDDC45B999BAD0801AD9D273,20,31
0x001DBC16DC51075E987543D23A0507C7,16,51
0x001E7BA991BE1B19605CA0316E7130F9,10,25
0x001E7CF2AD6BEF3ADE12EBC56CEAF0F3,16,17
0x0020262C8A370BD5A174EA6A2A267321,4,24
0x0020A222F55EB79A372D0EFEE3CCA688,9,22
0x002175704E8B209F61B9AD5CFD92B60E,8,20
