Day,Month,Year,Total_Sales,Total_Orders
17,10,2018,89.71,1
16,10,2018,222.03,1
3,10,2018,197.55,1
1,10,2018,80.38,1
29,9,2018,137.03,1
26,9,2018,94.63,1
25,9,2018,221.54,1
20,9,2018,191.46,1
17,9,2018,84.58,1
13,9,2018,414.04,1
12,9,2018,84.58,1
11,9,2018,258.67,1
10,9,2018,51.17,1
6,9,2018,2443.20,3
3,9,2018,458.64,4
31,8,2018,63.89,1
30,8,2018,705.04,4
29,8,2018,2381.83,14
28,8,2018,5216.72,46
27,8,2018,6229.95,69
26,8,2018,9304.00,76
25,8,2018,11737.76,71
24,8,2018,11450.76,103
23,8,2018,19737.72,144
22,8,2018,24401.84,187
21,8,2018,31479.90,245
20,8,2018,40352.47,262
19,8,2018,29989.35,211
18,8,2018,29695.07,205
17,8,2018,40872.77,268
16,8,2018,42581.08,330
15,8,2018,53322.70,295
14,8,2018,51574.67,322
13,8,2018,48163.76,299
12,8,2018,36739.75,203
11,8,2018,31277.25,192
10,8,2018,40690.26,270
9,8,2018,47261.68,301
8,8,2018,51463.76,321
7,8,2018,62057.77,379
6,8,2018,65860.43,386
5,8,2018,42272.07,280
4,8,2018,41239.97,251
3,8,2018,49517.59,326
2,8,2018,45932.70,306
1,8,2018,48850.81,331
31,7,2018,54652.10,331
30,7,2018,46288.01,303
29,7,2018,36468.26,196
28,7,2018,30168.17,179
27,7,2018,33331.12,196
26,7,2018,41784.74,270
25,7,2018,47917.71,272
24,7,2018,48154.03,277
23,7,2018,48104.33,313
22,7,2018,32962.26,217
21,7,2018,25508.97,194
20,7,2018,38131.01,256
19,7,2018,44911.25,259
18,7,2018,51392.43,323
17,7,2018,35758.42,232
16,7,2018,37854.66,251
15,7,2018,34489.40,158
14,7,2018,26427.02,154
13,7,2018,32635.24,175
12,7,2018,35228.70,138
11,7,2018,22148.64,129
10,7,2018,22694.45,142
9,7,2018,23122.17,154
8,7,2018,17554.72,123
7,7,2018,11277.24,93
6,7,2018,22108.67,124
5,7,2018,33949.50,196
4,7,2018,41579.80,264
3,7,2018,31454.60,222
2,7,2018,29422.43,202
1,7,2018,29060.70,164
30,6,2018,18621.71,125
29,6,2018,25098.69,175
28,6,2018,38773.74,252
27,6,2018,32920.90,224
26,6,2018,37673.67,266
25,6,2018,42008.02,251
24,6,2018,29498.57,203
23,6,2018,21181.11,157
22,6,2018,28753.15,186
21,6,2018,33301.99,246
20,6,2018,34330.26,231
19,6,2018,40013.60,244
18,6,2018,41027.07,259
17,6,2018,20751.52,161
16,6,2018,29000.08,171
15,6,2018,31498.76,196
14,6,2018,32707.21,215
13,6,2018,41586.61,271
12,6,2018,46762.43,259
11,6,2018,57345.56,304
10,6,2018,30295.41,200
9,6,2018,34033.78,173
8,6,2018,31797.20,205
7,6,2018,42676.38,236
6,6,2018,32176.98,234
5,6,2018,36471.22,206
4,6,2018,34326.40,231
3,6,2018,33024.44,202
2,6,2018,28939.99,147
1,6,2018,37284.05,189
31,5,2018,28156.52,138
30,5,2018,22529.07,147
29,5,2018,29441.33,156
28,5,2018,30304.95,149
27,5,2018,14693.68,108
26,5,2018,16914.09,99
25,5,2018,18286.32,106
24,5,2018,22278.70,119
23,5,2018,20262.30,143
22,5,2018,32070.66,208
21,5,2018,30619.94,209
20,5,2018,23086.12,167
19,5,2018,28319.73,147
18,5,2018,36429.77,242
17,5,2018,36258.36,232
16,5,2018,64742.06,369
15,5,2018,49505.99,368
14,5,2018,62230.73,375
13,5,2018,36320.07,211
12,5,2018,34883.12,225
11,5,2018,43346.50,262
10,5,2018,58871.87,290
9,5,2018,51096.82,355
8,5,2018,55129.38,336
7,5,2018,62568.25,379
6,5,2018,33099.31,212
5,5,2018,32640.67,202
4,5,2018,45494.10,270
3,5,2018,50218.85,319
2,5,2018,44908.63,318
1,5,2018,39274.26,274
30,4,2018,41036.61,246
29,4,2018,23060.95,181
28,4,2018,26978.52,183
27,4,2018,46764.30,247
26,4,2018,36912.77,265
25,4,2018,47356.49,290
24,4,2018,49905.02,283
23,4,2018,44363.29,298
22,4,2018,31991.79,207
21,4,2018,22465.89,162
20,4,2018,32841.64,205
19,4,2018,50326.53,307
18,4,2018,46308.65,294
17,4,2018,42814.25,283
16,4,2018,47364.65,301
15,4,2018,36564.19,227
14,4,2018,22397.87,150
13,4,2018,36440.53,204
12,4,2018,39945.38,260
11,4,2018,47204.47,282
10,4,2018,32535.28,204
9,4,2018,55782.82,258
8,4,2018,27883.61,194
7,4,2018,29014.86,166
6,4,2018,32285.36,194
5,4,2018,42219.17,283
4,4,2018,43567.82,268
3,4,2018,42187.32,253
2,4,2018,48076.45,301
1,4,2018,34189.00,213
31,3,2018,29121.40,172
30,3,2018,26279.75,174
29,3,2018,33564.47,205
28,3,2018,35150.72,229
27,3,2018,40633.58,259
26,3,2018,42745.23,282
25,3,2018,30192.80,202
24,3,2018,27711.42,169
23,3,2018,34817.72,225
22,3,2018,36989.79,262
21,3,2018,46482.09,301
20,3,2018,42887.93,316
19,3,2018,52707.31,310
18,3,2018,36076.38,229
17,3,2018,24000.21,186
16,3,2018,38760.36,278
15,3,2018,51935.36,299
14,3,2018,28417.25,204
13,3,2018,42179.58,235
12,3,2018,35930.89,238
11,3,2018,36618.35,223
10,3,2018,31105.00,198
9,3,2018,33823.07,216
8,3,2018,33842.12,245
7,3,2018,42513.19,269
6,3,2018,45971.24,280
5,3,2018,45635.61,283
4,3,2018,37479.80,239
3,3,2018,31781.79,218
2,3,2018,37550.31,279
1,3,2018,46747.40,287
28,2,2018,52321.74,319
27,2,2018,47076.99,305
26,2,2018,50433.96,302
25,2,2018,34930.88,238
24,2,2018,28341.36,201
23,2,2018,33072.96,240
22,2,2018,38784.23,288
21,2,2018,38017.26,275
20,2,2018,42706.69,298
19,2,2018,33735.96,265
18,2,2018,29071.93,212
17,2,2018,29611.55,204
16,2,2018,31867.47,224
15,2,2018,39224.75,288
14,2,2018,43643.36,314
13,2,2018,29024.17,226
12,2,2018,27990.55,233
11,2,2018,26129.46,179
10,2,2018,25265.32,182
9,2,2018,35374.19,223
8,2,2018,31911.01,237
7,2,2018,36529.71,261
6,2,2018,40066.42,278
5,2,2018,43196.97,283
4,2,2018,28261.91,209
3,2,2018,27572.17,202
2,2,2018,32532.45,223
1,2,2018,35767.92,243
31,1,2018,37891.63,263
30,1,2018,35523.61,260
29,1,2018,36056.52,257
28,1,2018,27804.90,159
27,1,2018,25106.77,160
26,1,2018,39308.94,237
25,1,2018,35335.98,239
24,1,2018,37025.23,258
23,1,2018,40298.33,282
22,1,2018,43867.89,332
21,1,2018,28447.42,210
20,1,2018,26960.00,184
19,1,2018,35649.63,240
18,1,2018,33038.69,251
17,1,2018,42151.92,290
16,1,2018,51339.38,313
15,1,2018,45208.29,326
14,1,2018,35993.46,241
13,1,2018,33222.38,232
12,1,2018,37270.23,253
11,1,2018,46746.38,288
10,1,2018,44824.93,285
9,1,2018,35440.00,258
8,1,2018,45310.60,298
7,1,2018,33993.48,202
6,1,2018,32711.84,229
5,1,2018,32341.95,216
4,1,2018,40998.15,269
3,1,2018,37154.62,235
2,1,2018,29494.74,218
1,1,2018,8486.29,78
31,12,2017,10190.93,78
30,12,2017,15412.61,99
29,12,2017,20552.64,151
28,12,2017,17793.85,149
27,12,2017,21074.29,171
26,12,2017,23797.46,181
25,12,2017,12662.23,92
24,12,2017,6960.79,62
23,12,2017,16425.64,112
22,12,2017,18073.47,112
21,12,2017,21546.44,147
20,12,2017,32004.68,177
19,12,2017,24494.28,184
18,12,2017,33898.13,213
17,12,2017,22106.00,145
16,12,2017,22907.05,139
15,12,2017,31451.63,198
14,12,2017,30754.31,202
13,12,2017,34385.08,226
12,12,2017,40370.39,271
11,12,2017,39415.43,269
10,12,2017,29784.26,202
9,12,2017,23639.52,160
8,12,2017,35160.82,245
7,12,2017,33664.20,238
6,12,2017,46149.63,297
5,12,2017,40707.77,289
4,12,2017,56225.41,341
3,12,2017,34803.19,237
2,12,2017,35908.51,220
1,12,2017,46080.84,288
30,11,2017,37026.73,288
29,11,2017,48043.16,338
28,11,2017,56708.41,393
27,11,2017,56966.28,420
26,11,2017,53939.87,411
25,11,2017,71897.01,538
24,11,2017,179200.03,1214
23,11,2017,52584.62,299
22,11,2017,30721.62,203
21,11,2017,39831.85,237
20,11,2017,50621.24,236
19,11,2017,23312.60,161
18,11,2017,27968.57,153
17,11,2017,35386.84,201
16,11,2017,33063.27,247
15,11,2017,27683.35,194
14,11,2017,32012.60,198
13,11,2017,29606.24,207
12,11,2017,26725.08,177
11,11,2017,27578.63,162
10,11,2017,23676.70,181
9,11,2017,29175.83,202
8,11,2017,23436.70,186
7,11,2017,24945.21,165
6,11,2017,33945.14,198
5,11,2017,21752.57,146
4,11,2017,22294.81,116
3,11,2017,27058.52,149
2,11,2017,25017.16,128
1,11,2017,22702.16,115
31,10,2017,27058.22,163
30,10,2017,23741.86,157
29,10,2017,20444.68,138
28,10,2017,20572.64,97
27,10,2017,23488.17,144
26,10,2017,26415.55,152
25,10,2017,21470.53,160
24,10,2017,25739.27,170
23,10,2017,25993.41,174
22,10,2017,23273.05,164
21,10,2017,18022.30,120
20,10,2017,21979.20,130
19,10,2017,26988.80,179
18,10,2017,31793.67,182
17,10,2017,35288.18,213
16,10,2017,35315.42,206
15,10,2017,21353.84,128
14,10,2017,16185.46,125
13,10,2017,26589.92,160
12,10,2017,22520.93,147
11,10,2017,26214.78,165
10,10,2017,32559.07,193
9,10,2017,35265.57,204
8,10,2017,19756.30,134
7,10,2017,17975.41,108
6,10,2017,21890.58,138
5,10,2017,29129.83,144
4,10,2017,24787.58,168
3,10,2017,30389.12,205
2,10,2017,25565.11,157
1,10,2017,21909.43,135
30,9,2017,14879.17,113
29,9,2017,34497.47,122
28,9,2017,26629.30,152
27,9,2017,24879.94,160
26,9,2017,25296.36,185
25,9,2017,21203.05,140
24,9,2017,15880.06,122
23,9,2017,12574.83,108
22,9,2017,19200.25,145
21,9,2017,22458.19,153
20,9,2017,26170.08,170
19,9,2017,23478.66,166
18,9,2017,32535.23,192
17,9,2017,22848.42,131
16,9,2017,24040.31,134
15,9,2017,21556.66,157
14,9,2017,26502.51,172
13,9,2017,32054.37,215
12,9,2017,32784.96,213
11,9,2017,27103.89,190
10,9,2017,20978.60,149
9,9,2017,17681.22,107
8,9,2017,14789.08,116
7,9,2017,21328.86,105
6,9,2017,28821.83,152
5,9,2017,24954.68,178
4,9,2017,28719.24,160
3,9,2017,30950.78,127
2,9,2017,20479.18,112
1,9,2017,32485.27,170
31,8,2017,23914.85,160
30,8,2017,35466.27,202
29,8,2017,37025.70,140
28,8,2017,25696.59,167
27,8,2017,16327.14,124
26,8,2017,12054.65,98
25,8,2017,17403.72,127
24,8,2017,16398.73,132
23,8,2017,18789.70,118
22,8,2017,19955.45,144
21,8,2017,26019.72,186
20,8,2017,15073.71,108
19,8,2017,15172.92,111
18,8,2017,20143.72,155
17,8,2017,21885.09,160
16,8,2017,28398.61,179
15,8,2017,27992.04,204
14,8,2017,22232.12,165
13,8,2017,15928.58,98
12,8,2017,16221.09,102
11,8,2017,23627.11,150
10,8,2017,23594.02,162
9,8,2017,24214.39,151
8,8,2017,21541.13,174
7,8,2017,26629.34,169
6,8,2017,17023.39,111
5,8,2017,14465.84,122
4,8,2017,21712.53,147
3,8,2017,22380.55,152
2,8,2017,21690.26,165
1,8,2017,25417.36,167
31,7,2017,20479.91,157
30,7,2017,15341.69,133
29,7,2017,18371.91,135
28,7,2017,23276.30,133
27,7,2017,18945.82,136
26,7,2017,14053.84,132
25,7,2017,20884.70,161
24,7,2017,22950.01,169
23,7,2017,14066.83,112
22,7,2017,13318.54,90
21,7,2017,15870.79,122
20,7,2017,22517.84,164
19,7,2017,20411.75,163
18,7,2017,32450.89,207
17,7,2017,25799.54,172
16,7,2017,16150.23,116
15,7,2017,13128.05,100
14,7,2017,21833.26,152
13,7,2017,17986.75,167
12,7,2017,22740.80,160
11,7,2017,24964.63,176
10,7,2017,20661.80,146
9,7,2017,10701.14,98
8,7,2017,12001.35,89
7,7,2017,16676.75,137
6,7,2017,26556.07,169
5,7,2017,24664.58,163
4,7,2017,18107.60,131
3,7,2017,19328.18,122
2,7,2017,14002.37,121
1,7,2017,14139.00,84
30,6,2017,16236.74,99
29,6,2017,14694.57,121
28,6,2017,17080.88,124
27,6,2017,19680.13,146
26,6,2017,15200.32,74
25,6,2017,20734.34,109
24,6,2017,10013.70,77
23,6,2017,15698.50,108
22,6,2017,10609.04,88
21,6,2017,7275.10,36
20,6,2017,14659.82,97
19,6,2017,25933.44,163
18,6,2017,19733.69,92
17,6,2017,13070.16,86
16,6,2017,14777.69,105
15,6,2017,15105.26,112
14,6,2017,23559.52,132
13,6,2017,16894.89,134
12,6,2017,17389.20,131
11,6,2017,19348.54,129
10,6,2017,9892.10,80
9,6,2017,18738.53,110
8,6,2017,22106.28,148
7,6,2017,16072.62,166
6,6,2017,17525.09,136
5,6,2017,27400.54,159
4,6,2017,16029.49,107
3,6,2017,12265.44,93
2,6,2017,21769.38,138
1,6,2017,21781.38,136
31,5,2017,24063.38,132
30,5,2017,17074.36,116
29,5,2017,22225.09,180
28,5,2017,11120.71,103
27,5,2017,16333.54,86
26,5,2017,12680.52,83
25,5,2017,18420.66,118
24,5,2017,26991.95,147
23,5,2017,20622.47,130
22,5,2017,28906.60,156
21,5,2017,20368.53,151
20,5,2017,12364.17,76
19,5,2017,21525.09,156
18,5,2017,20861.79,128
17,5,2017,21396.33,158
16,5,2017,24535.57,165
15,5,2017,21907.01,178
14,5,2017,17551.83,116
13,5,2017,10675.67,78
12,5,2017,15314.46,138
11,5,2017,21204.04,134
10,5,2017,23418.40,120
9,5,2017,24245.05,135
8,5,2017,19194.68,128
7,5,2017,20467.98,115
6,5,2017,19227.55,113
5,5,2017,16584.58,121
4,5,2017,15901.72,109
3,5,2017,12192.34,110
2,5,2017,20673.08,136
1,5,2017,14869.67,128
30,4,2017,9437.00,69
29,4,2017,13835.28,76
28,4,2017,18063.29,103
27,4,2017,12455.10,84
26,4,2017,18696.09,130
25,4,2017,17176.35,113
24,4,2017,17711.57,127
23,4,2017,11839.91,90
22,4,2017,15005.06,90
21,4,2017,10162.60,81
20,4,2017,16056.00,135
19,4,2017,13941.25,101
18,4,2017,23433.86,80
17,4,2017,10765.57,68
16,4,2017,6532.21,50
15,4,2017,9391.56,54
14,4,2017,10515.90,54
13,4,2017,11216.11,61
12,4,2017,9407.94,64
11,4,2017,9878.09,89
10,4,2017,13492.10,87
9,4,2017,9689.41,73
8,4,2017,10290.74,78
7,4,2017,15043.72,90
6,4,2017,26863.58,100
5,4,2017,20774.55,102
4,4,2017,14152.99,104
3,4,2017,10776.90,81
2,4,2017,10608.62,67
1,4,2017,20574.68,70
31,3,2017,13753.28,71
30,3,2017,11435.00,82
29,3,2017,10209.11,74
28,3,2017,14838.58,108
27,3,2017,20549.29,115
26,3,2017,7642.02,70
25,3,2017,11251.74,80
24,3,2017,13386.91,80
23,3,2017,22913.37,119
22,3,2017,16390.14,111
21,3,2017,14937.51,102
20,3,2017,20014.93,120
19,3,2017,7728.08,57
18,3,2017,17943.07,78
17,3,2017,13611.28,68
16,3,2017,16653.72,103
15,3,2017,17364.91,125
14,3,2017,16542.98,105
13,3,2017,19306.06,118
12,3,2017,7853.18,66
11,3,2017,12503.97,85
10,3,2017,14518.92,94
9,3,2017,13828.33,106
8,3,2017,16769.66,82
7,3,2017,13855.37,85
6,3,2017,13515.12,109
5,3,2017,8789.14,83
4,3,2017,15533.69,87
3,3,2017,14154.71,75
2,3,2017,13146.36,74
1,3,2017,18923.17,105
28,2,2017,12582.52,55
27,2,2017,6836.77,48
26,2,2017,6583.50,47
25,2,2017,5126.18,47
24,2,2017,7983.01,80
23,2,2017,8571.86,61
22,2,2017,9393.37,68
21,2,2017,9333.46,43
20,2,2017,9157.30,64
19,2,2017,4477.65,46
18,2,2017,9308.30,57
17,2,2017,8093.57,49
16,2,2017,7803.72,57
15,2,2017,8326.40,65
