Month,Year,Total_Sales,Total_Orders
10,2018,589.67,4
9,2018,4439.54,16
8,2018,1022425.32,6698
7,2018,1066540.75,6507
6,2018,1023880.50,6419
5,2018,1153982.15,7135
4,2018,1160785.48,7209
3,2018,1159652.12,7512
2,2018,992463.34,6952
1,2018,1115004.18,7563
12,2017,878401.48,5895
11,2017,1194882.80,7863
10,2017,779677.88,4860
9,2017,727762.45,4516
8,2017,674396.32,4550
7,2017,592382.92,4317
6,2017,511276.38,3436
5,2017,592918.82,3944
4,2017,417788.03,2571
3,2017,449863.60,2837
2,2017,291908.01,1886
1,2017,138488.04,850
12,2016,19.62,1
10,2016,59090.48,342
9,2016,252.24,3
