Month,Year,customer_state,Total_Sales,Total_Orders
8,2018,RJ,113984.34,766
8,2018,MS,6551.94,35
8,2018,GO,21888.53,122
8,2018,DF,23944.94,149
8,2018,AC,604.52,3
8,2018,RS,52623.35,306
8,2018,MA,5325.36,30
8,2018,PI,3979.84,22
8,2018,MG,115323.24,731
8,2018,SP,459934.71,3337
7,2018,SP,383213.58,2843
7,2018,MS,8295.34,52
7,2018,DF,27296.87,170
7,2018,MA,8361.39,41
7,2018,RS,53276.46,327
7,2018,AC,1769.95,4
7,2018,PI,8471.11,34
7,2018,GO,29374.82,118
7,2018,MG,114678.94,681
7,2018,RJ,121367.80,766
6,2018,RS,53302.17,320
6,2018,SP,396564.63,2867
6,2018,AC,597.26,3
6,2018,DF,23708.66,155
6,2018,MA,7964.57,44
6,2018,MS,10765.75,49
6,2018,GO,17381.31,112
6,2018,MG,125773.31,741
6,2018,PI,5999.96,30
6,2018,RJ,122265.47,745
5,2018,MG,121913.08,784
5,2018,AC,1501.42,2
5,2018,GO,27962.63,148
5,2018,PI,8647.63,32
5,2018,RJ,147201.78,868
5,2018,RS,60118.42,371
5,2018,MA,8589.54,32
5,2018,DF,29198.37,151
5,2018,SP,492978.52,3310
5,2018,MS,11140.71,45
4,2018,GO,22853.07,144
4,2018,MS,7053.14,50
4,2018,RS,61424.90,355
4,2018,DF,22169.55,153
4,2018,RJ,144663.73,885
4,2018,AC,588.17,4
4,2018,MA,10023.53,48
4,2018,PI,12911.77,38
4,2018,MG,130597.56,802
4,2018,SP,452747.67,3178
3,2018,AC,164.67,2
3,2018,MS,9313.79,60
3,2018,RJ,141230.29,956
3,2018,RS,68203.64,433
3,2018,GO,23637.07,157
3,2018,MA,11033.74,57
3,2018,DF,24909.00,152
3,2018,PI,8268.54,39
3,2018,SP,441724.26,3150
3,2018,MG,142356.63,913
2,2018,RS,55181.70,373
2,2018,MA,12546.42,58
2,2018,GO,21570.81,154
2,2018,PI,6009.99,35
2,2018,DF,24866.85,173
2,2018,MS,10129.11,66
2,2018,RJ,139423.88,962
2,2018,MG,125611.27,830
2,2018,AC,299.22,3
2,2018,SP,358518.49,2793
1,2018,GO,20195.66,148
1,2018,RJ,144559.53,939
1,2018,DF,20756.90,141
1,2018,MA,11209.06,58
1,2018,SP,430306.48,3181
1,2018,MG,134886.46,899
1,2018,MS,12029.88,71
1,2018,AC,1157.89,7
1,2018,PI,8673.74,50
1,2018,RS,57283.90,389
12,2017,DF,19932.25,138
12,2017,AC,1409.58,5
12,2017,PI,3508.48,24
12,2017,RJ,137617.71,805
12,2017,RS,49405.93,291
12,2017,MA,7542.95,42
12,2017,MG,110879.73,717
12,2017,MS,6214.50,36
12,2017,GO,18604.18,129
12,2017,SP,325471.54,2470
11,2017,MG,157768.52,989
11,2017,AC,945.16,5
11,2017,RJ,176634.33,1084
11,2017,GO,25371.12,161
11,2017,PI,3805.39,34
11,2017,DF,32232.90,172
11,2017,MA,13061.47,58
11,2017,RS,70115.46,436
11,2017,SP,417791.42,3166
11,2017,MS,7451.30,48
10,2017,MA,12526.98,48
10,2017,MG,95263.46,601
10,2017,GO,20256.84,114
10,2017,AC,958.17,7
10,2017,RS,44249.72,270
10,2017,RJ,113137.02,695
10,2017,DF,15626.40,101
10,2017,PI,4955.04,27
10,2017,SP,262255.69,1864
10,2017,MS,7688.58,34
9,2017,DF,15593.56,103
9,2017,RS,43536.21,283
9,2017,AC,2029.23,5
9,2017,SP,251949.98,1716
9,2017,GO,16457.68,101
9,2017,PI,3911.94,26
9,2017,MG,85040.32,523
9,2017,MS,5667.27,33
9,2017,MA,11340.69,42
9,2017,RJ,109402.93,661
8,2017,MA,7992.77,41
8,2017,PI,5707.62,24
8,2017,DF,11747.95,90
8,2017,AC,765.83,4
8,2017,SP,230199.67,1832
8,2017,RS,40960.60,313
8,2017,RJ,91604.41,592
8,2017,MS,4468.64,25
8,2017,MG,71051.24,487
8,2017,GO,17463.99,98
7,2017,DF,13101.13,79
7,2017,RS,35359.97,276
7,2017,AC,794.40,5
7,2017,RJ,92942.22,614
7,2017,MG,65959.66,479
7,2017,GO,10576.97,81
7,2017,MA,7941.34,40
7,2017,SP,214428.10,1747
7,2017,MS,4305.84,25
7,2017,PI,2938.77,20
6,2017,AC,510.27,4
6,2017,GO,11299.08,83
6,2017,MG,55371.00,373
6,2017,MA,2358.23,17
6,2017,PI,2626.96,14
6,2017,SP,201359.56,1428
6,2017,DF,9836.95,70
6,2017,RJ,63796.80,436
6,2017,MS,4442.66,29
6,2017,RS,28975.87,228
